Zone	sed_thk	sed_type	H2O_Capacity
1	400	1	468
2	400	1	419
3	400	2	342
4	400	2	323
5	300	2	78
6	300	3	330
7	300	3	644
8	300	3	294
9	300	3	599
10	400	3	1832
11	400	3	1115
12	400	3	573
13	200	3	424
14	200	3	433
15	1000	3	448
16	1000	3	686
17	1000	3	735
18	600	3	795
19	250	1	649
20	500	1	1231
21	200	2	285
22	1000	3	765
23	1000	2	867
24	850	2	888
25	300	2	883
26	300	3	1258
27	300	2	1317
28	300	2	832
29	200	2	680
30	200	2	896
31	600	2	220
32	200	2	330
33	200	4	157
34	200	4	158
35	200	1	345
36	200	1	573
37	400	3	1024
38	200	2	380
39	300	2	764
40	200	2	1639
41	200	2	895
42	200	5	987
43	200	5	721
44	200	2	492
45	200	2	646
46	300	2	347
47	300	2	503
48	300	2	871
49	300	2	403
50	300	5	974
51	300	5	1173
52	300	5	607
53	300	2	535
54	300	2	682
55	300	2	636
56	1000	3	247
